NWD_ID	HapMap_1000G_ID	SEQ_CTR	CRAM_URL	CRAI_URL
NWD100953	HG01110	WashU	gs://topmed-irc-share/public/NWD100953.recab.cram	gs://topmed-irc-share/public/NWD100953.recab.cram.crai
NWD119836	NA12878	NYGC	gs://topmed-irc-share/public/NWD119836.recab.cram	gs://topmed-irc-share/public/NWD119836.recab.cram.crai
NWD119844	NA12878	Baylor	gs://topmed-irc-share/public/NWD119844.recab.cram	gs://topmed-irc-share/public/NWD119844.recab.cram.crai
NWD136397	HG01110	NYGC	gs://topmed-irc-share/public/NWD136397.recab.cram	gs://topmed-irc-share/public/NWD136397.recab.cram.crai
NWD146103	NA19238	WashU	gs://topmed-irc-share/public/NWD146103.recab.cram	gs://topmed-irc-share/public/NWD146103.recab.cram.crai
NWD155824	NA12878	Broad	gs://topmed-irc-share/public/NWD155824.recab.cram	gs://topmed-irc-share/public/NWD155824.recab.cram.crai
NWD165827	NA19238	UW	gs://topmed-irc-share/public/NWD165827.recab.cram	gs://topmed-irc-share/public/NWD165827.recab.cram.crai
NWD176325	NA19238	Broad	gs://topmed-irc-share/public/NWD176325.recab.cram	gs://topmed-irc-share/public/NWD176325.recab.cram.crai
NWD183321	NA19238	Broad	gs://topmed-irc-share/public/NWD183321.recab.cram	gs://topmed-irc-share/public/NWD183321.recab.cram.crai
NWD191048	NA19238	UW	gs://topmed-irc-share/public/NWD191048.recab.cram	gs://topmed-irc-share/public/NWD191048.recab.cram.crai
NWD230091	HG01110	Broad	gs://topmed-irc-share/public/NWD230091.recab.cram	gs://topmed-irc-share/public/NWD230091.recab.cram.crai
NWD231092	HG01111	UW	gs://topmed-irc-share/public/NWD231092.recab.cram	gs://topmed-irc-share/public/NWD231092.recab.cram.crai
NWD234815	HG01111	WashU	gs://topmed-irc-share/public/NWD234815.recab.cram	gs://topmed-irc-share/public/NWD234815.recab.cram.crai
NWD245311	NA12878	Broad	gs://topmed-irc-share/public/NWD245311.recab.cram	gs://topmed-irc-share/public/NWD245311.recab.cram.crai
NWD259170	HG01110	UW	gs://topmed-irc-share/public/NWD259170.recab.cram	gs://topmed-irc-share/public/NWD259170.recab.cram.crai
NWD263474	NA19238	NYGC	gs://topmed-irc-share/public/NWD263474.recab.cram	gs://topmed-irc-share/public/NWD263474.recab.cram.crai
NWD285363	NA19238	Broad	gs://topmed-irc-share/public/NWD285363.recab.cram	gs://topmed-irc-share/public/NWD285363.recab.cram.crai
NWD290849	NA19238	NYGC	gs://topmed-irc-share/public/NWD290849.recab.cram	gs://topmed-irc-share/public/NWD290849.recab.cram.crai
NWD293295	NA19238	NYGC	gs://topmed-irc-share/public/NWD293295.recab.cram	gs://topmed-irc-share/public/NWD293295.recab.cram.crai
NWD296991	NA19238	Baylor	gs://topmed-irc-share/public/NWD296991.recab.cram	gs://topmed-irc-share/public/NWD296991.recab.cram.crai
NWD298195	NA12878	UW	gs://topmed-irc-share/public/NWD298195.recab.cram	gs://topmed-irc-share/public/NWD298195.recab.cram.crai
NWD315195	NA12878	Broad	gs://topmed-irc-share/public/NWD315195.recab.cram	gs://topmed-irc-share/public/NWD315195.recab.cram.crai
NWD315403	HG01249	UW	gs://topmed-irc-share/public/NWD315403.recab.cram	gs://topmed-irc-share/public/NWD315403.recab.cram.crai
NWD316026	HG01249	WashU	gs://topmed-irc-share/public/NWD316026.recab.cram	gs://topmed-irc-share/public/NWD316026.recab.cram.crai
NWD319341	NA19238	Broad	gs://topmed-irc-share/public/NWD319341.recab.cram	gs://topmed-irc-share/public/NWD319341.recab.cram.crai
NWD373853	NA19238	Broad	gs://topmed-irc-share/public/NWD373853.recab.cram	gs://topmed-irc-share/public/NWD373853.recab.cram.crai
NWD422016	NA19238	Broad	gs://topmed-irc-share/public/NWD422016.recab.cram	gs://topmed-irc-share/public/NWD422016.recab.cram.crai
NWD428511	NA12878	Illumina	gs://topmed-irc-share/public/NWD428511.recab.cram	gs://topmed-irc-share/public/NWD428511.recab.cram.crai
NWD433038	NA12878	UW	gs://topmed-irc-share/public/NWD433038.recab.cram	gs://topmed-irc-share/public/NWD433038.recab.cram.crai
NWD434806	NA12878	Baylor	gs://topmed-irc-share/public/NWD434806.recab.cram	gs://topmed-irc-share/public/NWD434806.recab.cram.crai
NWD444824	NA19238	Baylor	gs://topmed-irc-share/public/NWD444824.recab.cram	gs://topmed-irc-share/public/NWD444824.recab.cram.crai
NWD446684	NA19238	Illumina	gs://topmed-irc-share/public/NWD446684.recab.cram	gs://topmed-irc-share/public/NWD446684.recab.cram.crai
NWD455342	NA19238	UW	gs://topmed-irc-share/public/NWD455342.recab.cram	gs://topmed-irc-share/public/NWD455342.recab.cram.crai
NWD463423	HG01249	NYGC	gs://topmed-irc-share/public/NWD463423.recab.cram	gs://topmed-irc-share/public/NWD463423.recab.cram.crai
NWD465900	NA19238	Broad	gs://topmed-irc-share/public/NWD465900.recab.cram	gs://topmed-irc-share/public/NWD465900.recab.cram.crai
NWD470340	NA12878	UW	gs://topmed-irc-share/public/NWD470340.recab.cram	gs://topmed-irc-share/public/NWD470340.recab.cram.crai
NWD479955	NA12878	Broad	gs://topmed-irc-share/public/NWD479955.recab.cram	gs://topmed-irc-share/public/NWD479955.recab.cram.crai
NWD480514	NA19238	Broad	gs://topmed-irc-share/public/NWD480514.recab.cram	gs://topmed-irc-share/public/NWD480514.recab.cram.crai
